타라, 46, 196
파하, 52, 153
라아, 66, 189
파나, 93, 167
차다, 69, 175
하하, 41, 158
파다, 86, 163
차자, 79, 180
나다, 55, 153
자마, 97, 188
카하, 51, 158
가차, 70, 191
파차, 78, 164
라자, 61, 176
타마, 74, 171
카파, 82, 160
아하, 53, 167
나사, 87, 153
나아, 51, 160
나사, 84, 149
사다, 87, 140
사아, 88, 144
타가, 75, 159
차자, 69, 143
라자, 75, 171
마라, 87, 144
하가, 75, 147
하차, 92, 171
파사, 72, 176
차가, 84, 149
마마, 95, 196
아카, 45, 141
카카, 79, 147
파차, 49, 180
차파, 92, 147
마카, 81, 156
사하, 41, 154
카가, 75, 164
가가, 71, 167
자바, 85, 186
차파, 91, 183
바사, 62, 176
다아, 60, 178
아파, 80, 157
파나, 81, 165
하나, 86, 176
차카, 52, 144
하마, 78, 195
타마, 74, 192
파다, 88, 156
아타, 68, 189
아나, 91, 148
마마, 84, 152
타바, 49, 151
나다, 50, 163
아하, 94, 186
다사, 44, 188
차타, 54, 167
다차, 86, 173
바자, 78, 187
타차, 92, 179
타하, 49, 180
사자, 48, 156
파파, 90, 197
파차, 66, 149
차다, 66, 198
아가, 67, 163
다차, 84, 197
바카, 66, 197
가하, 59, 165
자카, 75, 195
다가, 74, 153
카파, 52, 157
사라, 81, 146
바아, 56, 168
타파, 61, 166
바사, 80, 143
사카, 98, 170
나타, 51, 186
하나, 60, 144
다자, 54, 147
카아, 53, 184
사하, 87, 156
자자, 93, 167
차다, 45, 186
하파, 79, 163
카사, 50, 152
카사, 87, 159
하아, 56, 143
카차, 70, 197
라차, 48, 141
다바, 86, 195
자파, 58, 147
마사, 44, 168
나아, 44, 179
마파, 90, 166
아마, 69, 167
차아, 51, 197
아아, 77, 163
하아, 47, 148
파다, 94, 156
자카, 96, 191
가가, 53, 162
사나, 62, 179
파사, 94, 140
가바, 77, 157
가라, 84, 143
하차, 67, 182
자하, 56, 162
차라, 78, 172
나타, 56, 178
아바, 46, 199
차카, 47, 156
나카, 68, 149
라파, 53, 192
하차, 68, 150
타다, 93, 170
라타, 91, 184
라마, 77, 198
차차, 71, 175
카카, 95, 169
차파, 54, 152
자카, 97, 161
차마, 83, 142
하라, 52, 182
사자, 95, 192
차자, 41, 188
자사, 46, 165
자가, 95, 177
가자, 90, 161
차하, 71, 168
하하, 53, 161
라가, 60, 198
차타, 46, 156
사가, 76, 140
나파, 96, 143
아바, 80, 151
카바, 56, 190
마라, 96, 171
아하, 89, 164
아타, 70, 140
하자, 67, 145
차아, 98, 169
차하, 64, 159
가나, 50, 190
자파, 76, 162
마아, 52, 195
가파, 54, 189
다마, 55, 144
타카, 79, 142
가바, 64, 144
라타, 51, 144
파하, 83, 154
타라, 52, 162
자마, 63, 159
자하, 90, 149
마라, 67, 151
사다, 48, 144
라나, 98, 162
다자, 65, 147
하카, 46, 194
바자, 96, 144
바차, 70, 152
바파, 80, 167
차파, 90, 169
파하, 50, 161
차카, 72, 146
하나, 65, 174
라라, 45, 171
하차, 42, 171
가타, 54, 193
가사, 62, 155
마아, 59, 178
아아, 77, 171
하자, 40, 179
나타, 90, 144
자라, 54, 161
파파, 75, 167
사자, 54, 160
타사, 50, 148
다바, 51, 150
하타, 49, 151
마파, 63, 173
바바, 97, 186
라아, 82, 148
가가, 92, 192
바차, 74, 193
파파, 75, 152
타파, 94, 178
마나, 49, 191
마나, 64, 159
바파, 61, 142
파차, 86, 140
사카, 85, 144
파타, 73, 195
다자, 86, 149
자타, 87, 172
파라, 54, 191
타가, 87, 198
파나, 40, 191
다가, 52, 192
자나, 47, 193
파라, 91, 144
다파, 80, 180
라하, 65, 191
바사, 94, 162
가사, 41, 185
마자, 74, 183
다차, 63, 184
사하, 57, 149
다아, 88, 161
나다, 74, 163
사바, 86, 179
라마, 79, 181
라다, 52, 151
차다, 57, 188
아라, 60, 159
차다, 61, 144
자바, 90, 195
파파, 66, 198
다파, 55, 140
사라, 47, 163
사카, 40, 180
파바, 49, 182
가가, 80, 145
가파, 93, 176
마라, 54, 185
타파, 76, 185
카파, 65, 188
다파, 59, 158
타마, 97, 193
바하, 47, 144
다차, 42, 168
다바, 71, 189
바마, 96, 174
카차, 50, 177
가다, 67, 157
자파, 99, 151
라나, 67, 188
하아, 69, 172
아파, 48, 177
카가, 63, 196
마나, 63, 197
마파, 72, 146
나타, 81, 149
파파, 40, 168
다하, 88, 191
사타, 44, 190
나나, 90, 167
파라, 78, 156
바사, 93, 147
사파, 92, 175
카자, 80, 177
사다, 89, 176
자나, 79, 192
자아, 56, 148
가타, 97, 194
사사, 70, 177
사마, 95, 198
다타, 46, 167
사마, 82, 192
아다, 64, 191
파라, 74, 183
자다, 79, 158
사나, 85, 149
바나, 48, 171
다다, 69, 174
라타, 67, 168
파아, 88, 159
카아, 64, 144
차마, 47, 174
아마, 48, 152
파나, 82, 161
마다, 58, 166
파파, 73, 160
다나, 54, 144
바타, 63, 155
타차, 62, 157
차사, 87, 145
자라, 92, 182
라다, 68, 165
사아, 48, 185
나다, 90, 167
가하, 81, 161
차차, 80, 162
다사, 94, 185
나아, 81, 191
가아, 84, 193
하가, 79, 191
타하, 83, 165
차차, 51, 164
자라, 73, 184
가타, 67, 142
라파, 69, 188
타자, 47, 179
카사, 99, 188
아파, 56, 168
카카, 58, 185
자아, 53, 148
자차, 72, 141
사마, 60, 167
아다, 45, 153
가차, 78, 153
바가, 48, 184
카파, 72, 190
차마, 76, 178
나자, 70, 145
자사, 89, 178
파가, 45, 157
파차, 57, 196
바나, 58, 150
타차, 98, 190
하타, 64, 147
하라, 76, 191
파가, 64, 143
하타, 76, 179
다사, 56, 172
아하, 91, 157
차사, 65, 188
가파, 88, 163
다아, 57, 152
바파, 74, 167
바아, 40, 192
차나, 40, 188
마하, 79, 169
바다, 86, 196
마하, 61, 197
자타, 52, 178
가라, 52, 187
차가, 52, 172
나사, 96, 140
가하, 50, 146
다카, 64, 193
바라, 68, 140
자나, 48, 150
자라, 60, 184
카사, 85, 183
자타, 81, 149
카하, 78, 164
라라, 55, 146
다다, 54, 150
나자, 51, 149
하타, 56, 197
사다, 88, 159
라타, 58, 186
파라, 60, 176
차라, 93, 182
마다, 79, 150
마아, 41, 140
가자, 98, 199
타아, 65, 182
파카, 57, 195
나나, 68, 177
가자, 91, 181
차나, 71, 143
카카, 85, 168
다마, 41, 183
나라, 46, 162
바자, 62, 195
하타, 50, 154
하타, 74, 145
자다, 92, 196
하카, 69, 154
카카, 74, 155
타아, 75, 150
마가, 80, 178
나타, 50, 191
자사, 64, 173
타다, 47, 174
타가, 50, 197
차사, 40, 179
자아, 53, 179
카파, 76, 189
다하, 58, 195
바카, 48, 194
바파, 96, 147
파하, 58, 197
라자, 50, 145
아마, 89, 165
차라, 68, 156
파나, 85, 150
파카, 85, 144
라파, 77, 153
바아, 64, 170
가하, 48, 166
자가, 98, 146
마파, 94, 150
나다, 92, 141
라자, 49, 154
하마, 62, 146
바차, 55, 197
차사, 46, 193
타라, 69, 164
마차, 46, 181
타타, 84, 178
라아, 44, 161
하하, 85, 153
바파, 42, 169
타사, 74, 178
차파, 56, 172
파차, 53, 166
파자, 49, 143
카가, 86, 179
카나, 64, 198
아나, 85, 195
자사, 47, 174
파다, 83, 187
하하, 87, 166
하라, 43, 162
하바, 72, 196
바가, 70, 188
바카, 89, 174
나나, 73, 140
라하, 71, 156
하파, 72, 180
자바, 91, 175
사파, 65, 167
가파, 62, 148
차하, 82, 144
카하, 69, 144
나아, 81, 183
자카, 42, 190
바타, 59, 162
하바, 75, 151
아마, 83, 160
파차, 82, 176
나라, 99, 155
바바, 84, 199
마다, 99, 171
파가, 70, 178
사파, 85, 169
타하, 93, 175
다차, 88, 147
마카, 94, 144
바바, 58, 150
하바, 73, 149
파차, 68, 185
사나, 40, 168
자아, 46, 178
가자, 56, 173
아하, 91, 163
차바, 70, 147
다차, 72, 155
가사, 73, 153
다사, 97, 140
아차, 48, 156
나파, 40, 157
타카, 91, 172
다라, 47, 155
가카, 63, 191
파가, 86, 173
타마, 78, 162
라가, 45, 177
사다, 91, 142
하자, 71, 180
마카, 78, 151
사다, 70, 156
하타, 81, 191
가카, 43, 164
타파, 58, 184
파나, 64, 175
차차, 52, 181
가카, 98, 195
사사, 85, 191
바마, 71, 190
하타, 91, 182
사사, 42, 196
타카, 61, 194
타아, 48, 186
차파, 59, 178
마마, 70, 162
카차, 45, 194
마타, 49, 158
카사, 94, 183
아나, 94, 187
마차, 56, 152
나나, 43, 190
차자, 77, 147
사파, 89, 151
나사, 46, 199
가라, 52, 155
타파, 93, 164
나라, 67, 187
마하, 43, 164
바타, 65, 172
파타, 93, 173
라다, 86, 176
마차, 76, 165
아다, 73, 191
자바, 92, 169
자카, 63, 182
나타, 70, 161
하라, 70, 169
나마, 51, 143
바마, 40, 166
차파, 70, 153
가라, 85, 176
차자, 53, 195
자다, 51, 142
다카, 67, 197
파사, 94, 165
가다, 43, 173
하가, 70, 188
라차, 46, 166
아사, 70, 140
라다, 53, 180
마나, 87, 167
가아, 49, 153
다타, 55, 187
자가, 78, 158
라자, 65, 143
사라, 94, 163
사다, 78, 170
사나, 78, 179
바나, 58, 168
가나, 41, 186
나자, 98, 166
사사, 68, 150
하사, 75, 182
가나, 59, 164
라나, 52, 160
하사, 79, 185
파카, 44, 197
바타, 74, 169
아차, 57, 198
카라, 57, 143
나가, 50, 140
차나, 63, 151
가타, 48, 193
자라, 84, 194
파다, 41, 158
사카, 49, 144
라아, 91, 152
차파, 77, 179
라사, 77, 186
하라, 84, 193
하나, 42, 181
나바, 96, 198
차라, 80, 158
나하, 85, 154
마차, 77, 189
라가, 87, 163
하바, 42, 168
파하, 71, 172
다사, 74, 153
아파, 56, 164
차바, 41, 193
카하, 48, 155
가카, 74, 171
나다, 79, 153
다라, 76, 159
라가, 52, 164
가차, 80, 171
다사, 42, 165
차하, 40, 166
가하, 58, 190
나카, 91, 154
자라, 74, 184
바차, 74, 184
타파, 76, 142
바자, 63, 145
하자, 73, 151
하바, 68, 173
아라, 98, 154
자마, 68, 182
파하, 87, 151
나나, 73, 151
마가, 75, 149
파라, 80, 182
바사, 91, 183
파하, 92, 152
하아, 94, 187
다사, 46, 161
카나, 70, 177
타아, 48, 195
라차, 89, 179
마차, 60, 173
아다, 85, 163
가라, 96, 145
아가, 63, 168
나아, 87, 179
바타, 76, 158
나타, 79, 180
하다, 78, 155
라사, 52, 199
마카, 91, 188
파하, 62, 186
바가, 48, 180
바타, 56, 176
자하, 41, 157
다카, 76, 198
바차, 51, 189
나아, 47, 158
아자, 45, 171
아바, 99, 162
마차, 49, 144
타라, 99, 192
하사, 75, 194
다사, 84, 188
파나, 73, 182
자파, 66, 150
자자, 63, 194
바다, 60, 187
나마, 51, 174
라하, 73, 151
나사, 80, 183
라마, 66, 149
자카, 64, 173
파아, 94, 196
나다, 81, 176
자타, 49, 190
아타, 81, 168
차가, 76, 171
마사, 53, 142
아하, 82, 191
사카, 68, 176
자자, 52, 179
라바, 46, 180
하카, 58, 172
가가, 87, 147
다바, 68, 163
가타, 65, 193
라라, 84, 199
하라, 41, 143
자타, 78, 187
차다, 41, 175
파가, 73, 175
마하, 89, 169
마나, 43, 142
카나, 64, 183
나라, 46, 153
가사, 98, 142
라바, 54, 141
카파, 72, 140
사다, 54, 190
자자, 61, 163
마차, 64, 161
카아, 86, 169
다가, 62, 164
바하, 40, 145
타차, 52, 185
마마, 97, 195
마다, 76, 183
사파, 80, 156
카사, 77, 173
바카, 65, 163
마자, 67, 190
자타, 47, 180
나하, 92, 170
자바, 97, 141
자다, 94, 154
타카, 47, 188
사마, 73, 173
자차, 90, 141
마사, 44, 186
타파, 91, 150
가나, 98, 173
나나, 94, 167
사아, 45, 185
나마, 61, 192
사차, 41, 155
사다, 72, 158
다자, 86, 177
마타, 75, 191
사타, 98, 141
가마, 98, 169
타자, 63, 146
가나, 88, 141
다마, 66, 165
나라, 91, 195
라사, 89, 174
라하, 91, 148
파다, 79, 190
하하, 48, 145
아자, 46, 191
마마, 47, 144
나카, 49, 143
라차, 83, 153
라사, 44, 165
카가, 85, 174
바바, 80, 149
라라, 56, 145
타나, 91, 186
라나, 63, 155
자차, 62, 156
바마, 93, 195
마자, 71, 170
나하, 56, 191
가마, 94, 157
라카, 62, 187
파카, 74, 188
마바, 47, 162
라바, 47, 151
라라, 61, 152
나파, 40, 147
사사, 43, 189
사가, 97, 147
사다, 41, 196
아사, 92, 145
하하, 85, 185
아나, 73, 164
라사, 54, 175
가라, 72, 152
사아, 71, 147
차사, 91, 154
아가, 46, 191
가차, 60, 174
자사, 96, 147
바나, 88, 172
아카, 52, 140
마차, 75, 197
파카, 87, 168
차아, 88, 169
자파, 99, 151
라파, 76, 188
타라, 77, 160
바아, 92, 150
차아, 75, 147
하마, 45, 155
타타, 53, 162
타마, 94, 187
자카, 85, 176
아타, 95, 161
바카, 55, 168
사차, 77, 157
파타, 84, 181
다나, 77, 143
자차, 93, 177
카사, 42, 169
차나, 70, 183
파카, 46, 193
차가, 54, 151
카카, 91, 146
라파, 55, 194
마파, 61, 155
카라, 62, 194
파가, 87, 182
아나, 59, 198
바라, 52, 189
가카, 65, 194
바나, 70, 157
차타, 93, 147
라가, 88, 194
가타, 56, 169
다카, 52, 161
차사, 53, 149
나마, 59, 181
하사, 59, 185
카사, 50, 175
차다, 86, 182
자바, 70, 190
사바, 99, 170
나아, 98, 150
사자, 93, 177
가차, 98, 153
하하, 89, 172
다마, 69, 193
나카, 75, 178
자타, 77, 150
하카, 83, 170
라카, 59, 198
타차, 54, 173
카자, 43, 178
카파, 48, 172
차가, 71, 191
라아, 85, 188
라자, 54, 179
나가, 96, 167
바다, 46, 152
아사, 56, 184
사다, 63, 192
라차, 83, 147
파하, 48, 193
파자, 60, 196
차사, 71, 194
자타, 41, 186
자카, 59, 145
마타, 81, 193
차차, 66, 164
차타, 53, 175
사파, 62, 174
하아, 85, 148
카라, 82, 147
사카, 45, 187
사카, 84, 165
자차, 40, 141
자자, 75, 163
파하, 76, 197
라바, 78, 146
가바, 98, 158
라파, 93, 166
자아, 94, 176
마다, 79, 155
타바, 41, 164
하사, 50, 195
가자, 51, 199
마타, 97, 186
자타, 89, 198
사카, 51, 156
가타, 43, 162
카가, 67, 162
다타, 72, 193
카마, 72, 171
아차, 42, 156
다카, 58, 148
파자, 86, 172
가마, 46, 176
마나, 42, 159
마다, 55, 151
마마, 69, 186
차마, 58, 154
차파, 75, 163
하가, 78, 149
아다, 85, 149
하차, 65, 173
차마, 82, 187
파카, 91, 174
다다, 92, 198
자차, 98, 195
아타, 78, 177
하라, 42, 169
가아, 65, 147
자파, 57, 165
라바, 74, 150
사아, 64, 170
사나, 44, 143
아사, 78, 159
마사, 48, 144
바바, 56, 172
하파, 40, 174
아아, 63, 164
가마, 71, 187
가마, 83, 186
자다, 51, 140
다차, 42, 140
파아, 57, 193
나마, 51, 162
사아, 96, 168
가하, 46, 187
바사, 94, 142
사사, 94, 195
자사, 80, 160
사아, 56, 154
다카, 76, 147
카가, 52, 183
다아, 72, 180
나차, 55, 194
바가, 73, 193
가아, 78, 192
차하, 56, 167
카아, 62, 144
가파, 97, 198
하다, 70, 186
가사, 93, 189
하아, 45, 147
카나, 49, 172
마다, 68, 154
가바, 86, 185
차카, 43, 150
라라, 94, 156
파하, 67, 164
아바, 94, 150
카가, 66, 151
마자, 83, 190
사라, 50, 192
자카, 79, 148
사다, 74, 143
바바, 50, 197
카아, 56, 185
마타, 61, 192
카하, 79, 140
나라, 59, 196
아마, 85, 194
자마, 62, 150
마자, 72, 145
가파, 91, 169
카가, 54, 154
마차, 83, 146
라자, 44, 180
차파, 97, 185
라자, 63, 153
사사, 80, 172
바타, 88, 155
카라, 97, 160
하바, 85, 177
타다, 84, 199
하카, 83, 174
자자, 99, 190
차차, 93, 152
타타, 49, 192
자마, 62, 142
마라, 74, 153
가카, 70, 174
카카, 63, 185
하하, 43, 175
아카, 89, 157
사아, 55, 141
마마, 97, 147
차자, 48, 182
파타, 84, 160
사바, 66, 189
아가, 79, 180
하카, 79, 158
차라, 46, 153
라아, 47, 168
가마, 93, 151
나나, 99, 160
가아, 85, 159
바라, 46, 170
카타, 52, 151
마자, 82, 158
다차, 71, 149
차자, 62, 160
타마, 95, 144
자마, 56, 187
바아, 56, 198
다바, 56, 141
바아, 88, 166
마아, 94, 164
하아, 64, 172
나하, 50, 196
바사, 71, 178
가차, 49, 156
하라, 75, 182
가카, 94, 161
카라, 93, 172
가차, 67, 157
차나, 82, 141
아마, 72, 187
나사, 45, 161
라자, 84, 157
타바, 63, 170
라나, 71, 187
가하, 55, 191
나마, 78, 169
카아, 55, 196
사바, 43, 185
바사, 99, 171
바타, 99, 198
아나, 79, 168
하타, 75, 174
가바, 86, 186
나바, 81, 184
